Instance,Best Objective,Avg Objective,Avg Time (s)
U_20_0.5_Num_1_pd.txt,250.76,253.99358939246582,5.515359163284302
U_20_0.5_Num_2_pd.txt,261.0,262.21845507669354,5.621567964553833
U_20_0.5_Num_3_pd.txt,303.84,304.2306884560256,6.922105550765991
U_20_0.5_Num_4_pd.txt,249.04,251.77693210604863,6.620112657546997
U_20_0.5_Num_5_pd.txt,253.76,255.5206099749584,4.380329370498657
U_20_1.0_Num_1_pd.txt,337.9,338.3893962587315,6.249287843704224
U_20_1.0_Num_2_pd.txt,395.08,397.060707640445,5.641123533248901
U_20_1.0_Num_3_pd.txt,396.04,396.1775540844609,6.700085639953613
U_20_1.0_Num_4_pd.txt,323.2,326.8372816083151,5.671178817749023
U_20_1.0_Num_5_pd.txt,367.64,368.67511992640004,5.567067861557007
U_20_1.5_Num_1_pd.txt,442.44,445.09008913741593,5.856919765472412
U_20_1.5_Num_2_pd.txt,390.84,392.0868443043576,6.902671575546265
U_20_1.5_Num_3_pd.txt,431.76,433.8402720847112,6.0434770584106445
U_20_1.5_Num_4_pd.txt,434.04,436.2268411173731,5.291180849075317
U_20_1.5_Num_5_pd.txt,432.32,433.0594178221022,5.190932512283325
U_30_0.5_Num_1_pd.txt,356.08,359.9583385110583,16.01270318031311
U_30_0.5_Num_2_pd.txt,326.56,329.6605312934444,14.530561685562134
U_30_0.5_Num_3_pd.txt,297.44,301.1979957662568,14.65005874633789
U_30_0.5_Num_4_pd.txt,325.28,328.8593094017106,13.46597695350647
U_30_0.5_Num_5_pd.txt,347.2,349.59159991524433,12.310835599899292
U_30_1.0_Num_1_pd.txt,447.48,451.16749694009246,16.250757932662964
U_30_1.0_Num_2_pd.txt,408.64,408.9939700082078,14.180699348449709
U_30_1.0_Num_3_pd.txt,419.08,419.86393144967656,15.150535106658936
U_30_1.0_Num_4_pd.txt,477.32,477.50090915564203,11.994446992874146
U_30_1.0_Num_5_pd.txt,456.32,457.62132132305317,12.097440719604492
U_30_1.5_Num_1_pd.txt,577.72,579.2747091587579,12.71654748916626
U_30_1.5_Num_2_pd.txt,518.6,519.6853961270955,13.335358142852783
U_30_1.5_Num_3_pd.txt,483.12,486.43495003660775,14.162304878234863
U_30_1.5_Num_4_pd.txt,562.12,563.5470133067743,14.732688426971436
U_30_1.5_Num_5_pd.txt,570.28,571.4037380387495,13.45127534866333
U_40_0.5_Num_1_pd.txt,394.84,397.0107843326329,21.53308415412903
U_40_0.5_Num_2_pd.txt,389.44,390.00369689989907,19.686286211013797
U_40_0.5_Num_3_pd.txt,401.44,404.6487879230162,19.733750581741333
U_40_0.5_Num_4_pd.txt,410.56,410.858202574719,20.38593292236328
U_40_0.5_Num_5_pd.txt,377.68,381.62754774640206,17.701605081558228
U_40_1.0_Num_1_pd.txt,473.16,476.24897907718656,20.154558420181274
U_40_1.0_Num_2_pd.txt,512.64,513.4348627261368,19.611358880996704
U_40_1.0_Num_3_pd.txt,531.24,531.2620884684944,19.91310405731201
U_40_1.0_Num_4_pd.txt,532.68,535.9418457138192,19.181874990463257
U_40_1.0_Num_5_pd.txt,471.32,474.14742937539046,18.46920680999756
U_40_1.5_Num_1_pd.txt,622.92,625.836028672164,19.55092167854309
U_40_1.5_Num_2_pd.txt,595.0,598.0850813867438,19.050498485565186
U_40_1.5_Num_3_pd.txt,647.16,647.4561786069364,18.061761379241943
U_40_1.5_Num_4_pd.txt,633.52,634.9538629141771,18.406424283981323
U_40_1.5_Num_5_pd.txt,653.4,653.8634762381007,23.43522071838379
U_50_0.5_Num_1_pd.txt,456.52,459.97241370350235,28.420684099197388
U_50_0.5_Num_2_pd.txt,439.52,442.01319250731024,27.22524642944336
U_50_0.5_Num_3_pd.txt,487.44,488.7635920994106,26.489362955093384
U_50_0.5_Num_4_pd.txt,448.52,448.7742334011441,27.32716107368469
U_50_0.5_Num_5_pd.txt,453.36,454.60392928686264,25.637019157409668
U_50_1.0_Num_1_pd.txt,654.48,655.7807332881072,28.056018829345703
U_50_1.0_Num_2_pd.txt,569.36,572.2784247133524,25.73547434806824
U_50_1.0_Num_3_pd.txt,569.2,571.7502298854207,27.85008764266968
U_50_1.0_Num_4_pd.txt,593.2,596.7488509703052,26.77077078819275
U_50_1.0_Num_5_pd.txt,561.24,563.1288597006478,21.316032648086548
U_50_1.5_Num_1_pd.txt,746.72,747.1983769837533,23.46807074546814
U_50_1.5_Num_2_pd.txt,718.68,721.5329791488921,25.23862361907959
U_50_1.5_Num_3_pd.txt,767.27,770.314463609156,27.351624488830566
U_50_1.5_Num_4_pd.txt,687.48,689.725108790278,26.771010160446167
U_50_1.5_Num_5_pd.txt,757.4,760.4838687198181,25.01363515853882
U_75_1.0_Num_1_pd.txt,793.12,795.0951823854576,39.3644745349884
U_75_1.0_Num_2_pd.txt,768.28,770.3709313175275,36.75584650039673
U_75_1.0_Num_3_pd.txt,795.24,796.9501640734339,30.660929679870605
U_75_1.0_Num_4_pd.txt,826.4,826.5016765069767,43.74245285987854
U_75_1.0_Num_5_pd.txt,728.32,728.751565707973,32.410627603530884
AVERAGE,446.28,448.16433897141377,14.779606211185456
